,countries,cases,todays,deaths,recovered,active
0,World,"147,053,586","+9,197","3,112,817","125,062,622","18,878,147"
1,USA,"32,789,653",,"585,880","25,339,874","6,863,899"
2,India,"16,951,769",,"192,310","14,078,081","2,681,378"
3,Brazil,"14,308,215",,"389,609","12,766,772","1,151,834"
4,France,"5,473,579",,"102,713","4,321,374","1,049,492"
5,Russia,"4,753,789",,"107,900","4,380,468","265,421"
6,Turkey,"4,591,416",,"38,011","4,022,408","530,997"
7,UK,"4,403,170",,"127,417","4,189,154","86,599"
8,Italy,"3,949,517",,"119,021","3,369,048","461,448"
9,Spain,"3,468,617",,"77,591","3,163,849","227,177"
10,Germany,"3,277,661",,"82,117","2,882,300","313,244"
11,Argentina,"2,845,872",,"61,474","2,496,277","288,121"
12,Colombia,"2,757,274",,"70,886","2,573,657","112,731"
13,Poland,"2,751,632",,"65,222","2,422,659","263,751"
14,Iran,"2,377,039",,"69,120","1,863,405","444,514"
15,Mexico,"2,326,738","+3,308","214,853","1,848,177","263,708"
16,Ukraine,"2,017,341",,"42,092","1,565,954","409,295"
17,Peru,"1,754,150",,"59,440","1,679,099","15,611"
18,Indonesia,"1,636,792",,"44,500","1,492,322","99,970"
19,Czechia,"1,618,068",,"28,920","1,524,041","65,107"
20,South Africa,"1,574,370",,"54,125","1,500,360","19,885"
21,Netherlands,"1,453,124",,"17,038","1,211,609","224,477"
22,Canada,"1,172,004",,"23,927","1,061,706","86,371"
23,Chile,"1,162,811",,"25,742","1,092,934","44,135"
24,Romania,"1,044,722",,"27,267","968,746","48,709"
25,Iraq,"1,025,288",,"15,217","897,966","112,105"
26,Philippines,"989,380",,"16,674","883,221","89,485"
27,Belgium,"972,041","+3,934","23,990","825,136","122,915"
28,Sweden,"938,343",,"13,923","766,040","158,380"
29,Israel,"837,974",,"6,350","829,811","1,813"
30,Portugal,"833,964",,"16,959","792,377","24,628"
31,Pakistan,"790,016",,"16,999","686,488","86,529"
32,Hungary,"767,190",,"26,420","478,323","262,447"
33,Bangladesh,"742,400",,"10,952","653,151","78,297"
34,Jordan,"700,423",,"8,563","664,772","27,088"
35,Serbia,"677,972",,"6,196","615,211","56,565"
36,Switzerland,"646,509",,"10,594","577,630","58,285"
37,Austria,"606,954",,"10,070","570,684","26,200"
38,Japan,"556,999",,"9,854","498,242","48,903"
39,Lebanon,"519,615",,"7,118","445,163","67,334"
40,Morocco,"509,037",,"8,988","494,872","5,177"
41,UAE,"508,925",,"1,569","490,457","16,899"
42,Saudi Arabia,"411,263",,"6,887","394,529","9,847"
43,Bulgaria,"397,100",,"15,859","324,386","56,855"
44,Malaysia,"390,252",,"1,426","365,900","22,926"
45,Slovakia,"379,476",,"11,458","255,300","112,718"
46,Ecuador,"372,754",,"18,158","309,541","45,055"
47,Panama,"362,696",,"6,207","352,523","3,966"
48,Belarus,"351,674",,"2,483","342,102","7,089"
49,Greece,"331,730",,"9,950","287,222","34,558"
50,Croatia,"321,372",,"6,815","298,210","16,347"
51,Azerbaijan,"311,465",,"4,342","276,934","30,189"
52,Kazakhstan,"303,570",,"3,535","259,863","40,172"
53,Georgia,"302,785",,"4,007","284,749","14,029"
54,Tunisia,"298,572",,"10,231","248,013","40,328"
55,Bolivia,"297,185","+1,293","12,812","244,881","39,492"
56,Nepal,"297,087",,"3,136","277,123","16,828"
57,Palestine,"290,259",,"3,151","260,650","26,458"
58,Kuwait,"265,404",,"1,511","248,633","15,260"
59,Paraguay,"265,296",,"5,802","217,685","41,809"
60,Dominican Republic,"263,944",,"3,451","221,294","39,199"
61,Ethiopia,"250,955",,"3,531","190,013","57,411"
62,Moldova,"248,898",,"5,709","236,774","6,415"
63,Denmark,"247,010",,"2,474","235,065","9,471"
64,Ireland,"246,204",,"4,872","227,886","13,446"
65,Lithuania,"240,522",,"3,841","217,779","18,902"
66,Costa Rica,"238,760",,"3,143","199,982","35,635"
67,Slovenia,"236,613",,"4,203","221,814","10,596"
68,Egypt,"221,570",,"12,998","166,457","42,115"
69,Guatemala,"221,307",,"7,395","195,802","18,110"
70,Armenia,"212,878",,"4,001","193,360","15,517"
71,Honduras,"205,696",,"5,095","77,531","123,070"
72,Qatar,"201,496",,418,"179,974","21,104"
73,Bosnia and Herzegovina,"194,733",,"8,203","153,408","33,122"
74,Venezuela,"190,523",,"2,028","173,097","15,398"
75,Oman,"185,278",,"1,942","165,051","18,285"
76,Uruguay,"182,326",,"2,283","151,669","28,374"
